三亚市	2014-04-01	28	19-43	优	13.8	27.1	1	0.496	11.4	34.8
三门峡市	2014-04-01	99	56-144	良	71	114.1	63.9	1.585	45.4	54.1
上海市	2014-04-01	68	46-93	良	46.1	61.4	12.5	0.676	44.5	92.5
东莞市	2014-04-01	59	29-103	良	41.9	56.8	18.3	1.191	50.1	34.6
东营市	2014-04-01	127	105-175	轻度污染	85.8	191.8	123.1	1.473	60.9	125.2
中山市	2014-04-01	60	29-118	良	41	50.2	21.9	1.543	55.1	12.4
临安市	2014-04-01	118	67-205	轻度污染	82.7	139.6	11.2	0.761	40.5	62.1
临汾市	2014-04-01	137	88-202	轻度污染	103.3	152.3	63.2	3.201	41.8	52.1
临沂市	2014-04-01	161	95-259	中度污染	123.8	204.3	85.4	2.009	83.6	52.7
丹东市	2014-04-01	126	95-166	轻度污染	95.2	163.1	30.7	1.497	55.8	44.6
丽水市	2014-04-01	38	24-58	优	22.4	34.6	10.6	0.556	28.7	54.4
义乌市	2014-04-01	55	37-77	良	37.1	53.5	9.8	0.803	42.9	46.4
乌鲁木齐市	2014-04-01	82	49-143	良	38.2	113.2	20.3	0.86	54.3	44.6
九江市	2014-04-01	65	48-83	良	29.1	78.6	27.6	0.676	35.5	43.4
乳山市	2014-04-01	86	38-292	良	59.2	77.6	7.4	1.8	22.1	87.8
云浮市	2014-04-01	30	17-67	优	18.5	26.8	16.1	1.472	21.9	30.2
佛山市	2014-04-01	54	38-69	良	37.1	50.8	21.9	1.442	57.1	15
保定市	2014-04-01	117	75-149	轻度污染	83.7	167.7	29.2	0.699	44.1	53.7
克拉玛依市	2014-04-01	60	42-103	良	34.4	64.8	7.5	0.863	29.4	89.8
兰州市	2014-04-01	91	60-129	良	49.9	128.5	36.9	1.491	50.9	38
包头市	2014-04-01	101	69-123	轻度污染	46	151.5	50.9	0.892	45.5	52.9
北京市	2014-04-01	138	74-234	轻度污染	104.4	117.5	17.1	0.924	60.3	79.2
北海市	2014-04-01	69	44-108	良	43.5	73.2	17.8	1.488	13.5	65.8
南京市	2014-04-01	115	72-166	轻度污染	86.2	142.1	28.8	0.844	60.6	75.7
南充市	2014-04-01	65	55-76	良	46.1	64.4	16.3	0.719	30.8	33.8
南宁市	2014-04-01	79	60-95	良	50.5	101.6	15.8	1.028	33.9	54.6
南昌市	2014-04-01	62	51-68	良	40.8	71	27.3	0.936	29.9	77.8
南通市	2014-04-01	76	59-96	良	54.8	78	16.7	0.568	31.4	83.6
即墨市	2014-04-01	77	46-132	良	49.3	96.9	38.4	0.744	44.8	77.1
厦门市	2014-04-01	57	41-68	良	37.3	60.4	17.3	0.69	32.8	76.8
句容市	2014-04-01	127	87-205	轻度污染	95.6	46.2	67.9	1.31	42.4	32.9
台州市	2014-04-01	35	25-48	优	22.4	31.1	7.1	0.821	40.6	45.2
合肥市	2014-04-01	119	85-164	轻度污染	89.6	114.7	31.3	1.073	37.9	41.7
吉林市	2014-04-01	112	66-214	轻度污染	82.3	156.3	34.9	1.535	46.4	85.9
吴江市	2014-04-01	85	60-141	良	61.8	99.5	25.4	0.809	52.6	69.2
呼和浩特市	2014-04-01	88	69-103	良	34.5	125.1	53.2	2.495	40.1	37.5
咸阳市	2014-04-01	120	69-186	轻度污染	87.9	149.2	43.1	1.296	59.6	66.5
哈尔滨市	2014-04-01	65	47-90	良	41.1	76.2	45.2	0.648	48.8	50.3
唐山市	2014-04-01	209	87-309	重度污染	164.8	229.9	102.6	3.607	77.1	97.9
嘉兴市	2014-04-01	71	55-93	良	49.5	67	24.6	0.668	44.8	90
嘉峪关市	2014-04-01	72	53-104	良	28.3	86.6	61	1.051	40.9	107.4
